Name;small__wingspan_less_than_3_cm;medium__wingspan_3___6_cm;large__wingspan_more_than_6_cm;antennae_all_black_or_brown;antennae_pale_or_dark_with_pale_areas;antenna_with_a_bent_sharp_point_beyond_club;antenna_club_broad_or_narrow_with_a_blunt_tip;thorax_with_pale_spots_or_stripes;four_walking_legs;six_walking_legs;fw_margin_jagged_or_toothed;hw_with_marginal_teeth___wider_than_long;hw_with_broader_straight_tails__not_hair_like;hw_with_twisted_hair_like_tails;eyespots_on_upperside;eyespots_on_underside;color_pattern_similar_above_and_below;ground_color_of_fw_up_dark_brown__blue_black__or_gray;ground_color_of_fw_up_light_brown_to_gray;ground_color_of_fw_up_bright_orange__yellow__or_white;ground_color_of_fw_up_dull_orange_to_rust;ground_color_of_fw_up_blue;fw_up_with_yellow_orange_or_pale_median_band_or_spots_;fw_up_with_sub_marginal_yellow_or_orange_spots_;fw_up_with_white_or_clear_spots;fw_up_pale_with_darker_markings;fw_up_dark_with_paler_markings;fw_up_pale_with_a_dark_border;ground_color_of_hw_un_dark_brown_or_black;ground_color_of_hw_un_orange__yellow__or_white;ground_color_of_hw_un_dull_orange_to_rust;ground_color_of_hw_un_light_brown_to_gray;ground_color_of_hw_un_green;hw_un_pale_with_darker_markings;hw_un_with_red_spots_or_markings;hw_un_with_a_submarginal_line_of_pale_spots;hw_un_with_silver_spots;hw_up_pale_with_a_dark_border;hw_up_dark_with_a_paler_border;hw_up_with_an_orange_to_rust_median_band_or_spots;hw_up_with_a_sub_marginal_line_of_yellow_or_orange_spots;hw_up_with_a_sub_marginal_line_of_white_spots;hw_up_with_medial_white_band_or_spots;typically_rests_with_wings_folded;typically_rests_with_wings_spread;feeds_on_flowers;feeds_on_fruit
Battusphilenor;No;No;Yes;Yes;No;No;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;Yes;Yes;Yes;No
Eurytidesmarcellus;No;No;Yes;No;Yes;No;Yes;Yes;No;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes;No;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes;Yes;No;No;No;No;No;Yes;Yes;Yes;Yes;Yes;No
Papiliocanadensis;No;No;Yes;Yes;No;No;Yes;Yes;No;Yes;No;Yes;Yes;No;Yes;Yes;Yes;No;No;Yes;No;No;No;Yes;No;Yes;No;Yes;No;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;No;Yes;No;No;Yes;Yes;Yes;No
Papiliocresphontes;No;No;Yes;Yes;No;No;Yes;No;No;Yes;No;Yes;Yes;No;Yes;Yes;No;Yes;No;No;No;No;Yes;Yes;No;No;Yes;No;No;Yes;No;No;No;Yes;Yes;Yes;No;No;No;Yes;Yes;No;No;Yes;Yes;Yes;No
Papilioglaucus;No;No;Yes;Yes;No;No;Yes;Yes;No;Yes;No;Yes;Yes;No;Yes;Yes;Yes;No;No;Yes;No;No;No;Yes;No;Yes;No;Yes;No;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;No;Yes;No;No;Yes;Yes;Yes;No
Papiliopolyxenes;No;No;Yes;Yes;No;No;Yes;No;No;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;No;No;No;No;Yes;Yes;No;No;Yes;No;Yes;No;No;No;No;No;Yes;Yes;No;No;No;Yes;Yes;No;No;Yes;Yes;Yes;No
Papiliotroilus;No;No;Yes;Yes;No;No;Yes;Yes;No;Yes;No;Yes;Yes;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;Yes;Yes;No;No;No;No;Yes;No;No;Yes;Yes;Yes;No
Coliaseurytheme;No;Yes;Yes;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;Yes;No;No;Yes;Yes;No;No;No;No;No;Yes;No;Yes;No
Coliasphilodice;No;Yes;Yes;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;Yes;No;No;Yes;Yes;Yes;No;No;No;No;Yes;No;Yes;No
Phoebissennae;No;No;Yes;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;Yes;Yes;No;No;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;Yes;Yes;No;Yes;No;No;No;No;No;No;Yes;No;Yes;No
Euremalisa;No;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No
Anthocharismidea;No;Yes;No;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No
Pierisnapi;No;Yes;No;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No
Pierisrapae;No;Yes;No;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No
Pierisvirginiensis;No;Yes;No;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No
Pontiaprotodice;No;Yes;No;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;Yes;No
Limenitisarchippus;No;No;Yes;Yes;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;Yes;Yes;No;Yes;No;No;Yes;No;No;Yes;No;Yes;No;Yes;No;No;No;Yes;No;Yes;Yes;Yes;No
Limenitisarthemisastyanax;No;No;Yes;Yes;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;Yes;Yes;No;No;Yes;No;No;No;No;Yes;No;Yes;Yes
Limenitisarthemisarthemis;No;No;Yes;Yes;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;No;Yes;No;Yes;No;Yes;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;Yes;Yes;No;Yes;Yes
Asterocampaceltis;No;Yes;Yes;No;Yes;No;Yes;No;Yes;No;No;No;No;No;Yes;Yes;No;Yes;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;Yes;Yes
Asterocampaclyton;No;Yes;Yes;No;Yes;No;Yes;No;Yes;No;No;No;No;No;Yes;Yes;No;No;No;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;Yes;Yes
Agraulisvanillae;No;No;Yes;Yes;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;Yes;No;No;No;No;No;Yes;No;No;No;Yes;Yes;No;No;No;Yes;No;No;Yes;No;Yes;No
